,planet,mu_T0,var_T0,mu_P,var_P,mu_dP_dE_ms,var_dP_dE_ms,Prob dP/dE < 0
0,HAT-P-1,-0.0003147235782499464,9.296175667267182e-08,4.465299653036899,6.191295331306216e-13,0.2571516537451728,0.06699556129598257,0.1602340470657389
1,KELT-16,,,,,,,
2,WASP-10,-0.000859617587998695,2.7936911129665298e-08,3.092727928873085,2.672735891681088e-14,-0.2153242450305537,0.005031860117062873,0.9987992698064685
3,KELT-1,0.0010286832691042095,3.408803935128416e-07,1.2174948861160522,6.184328087664418e-14,-0.12920120101241533,0.002816190264202638,0.9925467864808226
4,WASP-80,,,,,,,
5,XO-1,,,,,,,
6,GJ-436,0.004087350751969736,3.430940677501574e-08,2.643897852041727,2.3777950167169014e-14,0.14073264340885505,0.0028465246687122544,0.0041726248634775765
7,WASP-92,0.0003043978292975611,1.8822918029805824e-07,2.1746699517792663,3.103130864341978e-12,-0.6134773231325683,0.12274748940578677,0.9600291488427101
8,HAT-P-10,0.002194898550387319,5.203258980652694e-07,3.722490450669927,5.6175133627222e-11,1.027367860143354,5.324248535397533,0.3280721831188095
9,HAT-P-36,-0.010323686112784579,4.2238091445998624e-08,1.3273468637718946,9.422996804230932e-15,0.07346997030190713,0.0006312957726945487,0.0017272237996004663
10,XO-3,,,,,,,
11,WASP-5,-0.0009377232112027902,2.3792861980372277e-08,1.6284300350874485,7.421366773974311e-14,0.01118014860760663,0.000524779346883759,0.31275924579638736
12,HAT-P-28,0.002347056678442825,9.372360546940232e-08,3.257212591865612,3.190211654193924e-13,-0.2929686946024763,0.061443166047452626,0.8813793016983051
13,CoRoT-2,0.00015218141502912935,3.516595858219457e-08,1.7429977941109396,2.046411496924538e-14,0.07109990328004355,0.0010977995228637055,0.015940870976536018
14,HAT-P-12,-0.001077571543780588,2.9372874847035595e-08,3.2130577338695505,4.295862844593142e-14,-0.08348336847917948,0.005440015845913673,0.8711572795848191
15,WASP-12,0.00422278864093059,3.679702895592034e-08,1.0914196697374343,1.6105489667550132e-14,-0.06785914128659078,0.00020729354103228453,0.9999987806911738
16,HAT-P-3,0.001160795862905585,3.49184437037709e-08,2.899738079161125,2.5446788045881623e-14,-0.13525137385168037,0.006349566944385044,0.9551840907275911
17,TrES-5,0.0025010832512581543,2.5416492721080616e-08,1.4822468577811267,6.184526263607323e-14,-0.12129101253808523,0.0022376959729595385,0.9948272080731283
18,WASP-36,-0.0014006916806472498,1.224383465711561e-07,1.537365577909392,1.4963960618512587e-14,0.0436625407805568,0.002673193112390099,0.19919819040196718
19,WASP-103,-0.003444145406326359,8.149411153519148e-08,0.9255450383826326,3.411333052310726e-14,-0.12714721341001847,0.0020550845764311376,0.9974821100349748
20,HAT-P-16,0.0016355309280024436,6.94306730476372e-08,2.775967739317988,4.151971893025867e-14,-0.005348701983898967,0.009316975083012437,0.5220952433114219
21,HAT-P-32,0.010777174229403452,1.7757623976881657e-08,2.150008978115659,7.45196321027788e-14,-0.17647960792414677,0.0024655728855384265,0.9998103977082607
22,WASP-1,0.000293882609049995,1.527916277610267e-07,2.51994692601052,4.5541791261287544e-14,0.02144910690126738,0.008979342001928436,0.41046329757638533
23,HAT-P-20,-0.00044829532670769744,2.9207529010147876e-08,2.8753184352212524,1.0012983587265518e-13,-0.10239875945296034,0.013269409866985226,0.8129803796366217
24,WASP-43,-0.0012380137834719668,2.1203676414926053e-08,0.8134741203787643,3.4948279494748202e-15,-0.01255529255680931,4.536941071322516e-05,0.9688389548496963
25,TrES-1,0.00029225643383947917,2.1822263544935228e-08,3.030069718393724,4.0467859980267035e-15,-0.07095090455325842,0.0013638062079547866,0.9726492671166193
26,HD209458,-0.0012597131191949631,2.525454077292239e-08,3.524749217438554,5.248379557010894e-14,0.07513372510650872,0.00197863430821068,0.045601329237566435
27,WASP-14,0.003123387256855553,9.846110419173966e-07,2.2437639247641648,2.116398557975303e-12,0.5259394883903507,0.06979921280745806,0.023255754238221356
28,TrES-3,0.002218130800483161,8.164374216078419e-09,1.3061862346799398,1.4460876240446325e-15,-0.019713858716441907,4.835795630938543e-05,0.9977079949615182
29,HAT-P-5,0.002737047439676148,1.12518170038485e-07,2.7884728534979217,3.5375965472101676e-14,-0.3000182640616772,0.010405773976325436,0.9983647806630678
30,Qatar-1,-0.013870721689263146,9.646014218252321e-09,1.420024535874033,1.7592413965266434e-14,-0.004281941618589123,0.000522510317469561,0.5742966769395369
31,WASP-65,-0.005252658821186067,9.353779400662129e-08,2.3114216714713853,8.961835609779081e-13,-0.04564393198500766,0.17252202158824756,0.5437519548929091
32,HAT-P-18,-0.003709541779081421,9.086664778575041e-08,5.508029960855979,3.192054494026986e-13,-1.2671263893550395,0.22671889669882653,0.9961067634428176
33,HAT-P-22,-0.0018151005606797538,2.415039090268567e-07,3.2122316177767365,1.7362672079703514e-13,-0.026920108963709895,0.07538656513433381,0.5390521126862641
34,HAT-P-53,-0.005354890515378404,7.450406484707642e-07,1.9616190887406206,1.45123432033527e-12,-0.6768408098940423,0.04981700376919395,0.9987872282433227
35,WASP-3,0.00026586218935336145,4.0668632671162054e-08,1.8468351040466329,8.326821956375289e-15,0.018846971996356703,0.0009351658975078448,0.2688458876574679
36,XO-5,0.0045625969660737075,1.6896789057648237e-07,4.18775217073904,7.473030492124225e-13,2.470132037334405,0.12240444540610311,8.308713407111043e-13
37,HAT-P-30,,,,,,,
38,HAT-P-11,-9.058464072359511e-05,7.074071120357451e-10,4.887805265862848,2.8814760066543623e-12,-1.2270010957795072,0.16073769881317126,0.9988949972173962
39,Kepler-17,0.0028752385421121746,8.348587492549442e-08,1.4857112095350924,1.9891818667869145e-14,0.04579923945036396,0.0014534788524347404,0.11481612182522621
40,CoRoT-1,-0.001124700922737406,4.360078037722999e-08,1.5089684839897115,1.861008287380766e-14,0.031206834744965536,0.0004034726525232651,0.06013845387666728
41,HAT-P-56,0.0,3.814697265625e-06,4.0,0.0,5568238.812883214,-0.0,
42,HAT-P-27,-0.0044630293868886586,1.447374754827454e-07,3.039577038685712,4.4313764877011034e-13,0.7552013255005992,0.06688215663960424,0.0017492222918687966
43,HAT-P-44,0.001303148494710566,3.022724959299749e-07,4.3011853909506845,1.1250620974318677e-11,-1.3615940883762232,1.0763728253894556,0.9053074337717226
44,WASP-93,-0.017011075519347146,5.025340675350909e-07,2.7325347749156927,6.944659557945044e-12,-0.9142200384355385,0.3991309969382515,0.9260629582607183
45,WASP-48,0.0037850025034559267,1.1728628475117786e-07,2.143636739943892,1.3063969138776078e-13,-0.3203715520554736,0.0085854509930814,0.9997274760222326
46,Qatar-4,-0.0003245031596390038,4.895458970610516e-08,1.805363808859114,7.439405693342972e-13,0.616562795474622,0.18662904116576956,0.07675977044145535
47,WASP-46,,,,,,,
48,TrES-4,-0.0011741338227934182,5.575149068436204e-07,3.5539237053060995,1.3127155408796075e-12,-0.20085248909649886,0.2875386011169582,0.6460086209461999
49,HAT-P-13,,,,,,,
50,HAT-P-25,0.0028230695609677728,4.467766064522801e-08,3.6528124561757758,2.5580541061313207e-12,0.22840037960973236,0.24702042968958748,0.3229205336853155
51,HAT-P-54,0.00363758328513851,3.3385601573486466e-07,3.7998570908591955,2.2296631989364743e-11,5.533908893696638,4.573398723084287,0.004831075883649547
52,WASP-4,0.001849615119246054,1.6843040735234114e-08,1.3382313486937016,1.0060466744780422e-15,-0.00628965161931353,5.29041234134136e-05,0.8064072125144133
53,XO-2,0.0010499849792417466,3.0568942393456064e-08,2.6158588870105643,1.9787311611281577e-14,0.06290574042043777,0.0026924718055661165,0.1126963299066846
54,HAT-P-37,,,,,,,
55,Qatar-2,0.00044801773511039854,2.882652675627498e-08,1.3371166219269488,7.251108414062225e-15,0.011856586329704764,0.00033574493011211717,0.2587915502968986
56,HAT-P-6,,,,,,,
57,WASP-33,-2048.0,-0.0,-0.0,-0.0,-168724.3805424059,-0.012949641359227826,
58,WASP-50,-0.00314825429254774,3.332952729260526e-08,1.9550931970004222,2.269939195033463e-14,-0.0062930171894226075,0.001838314213420988,0.5583447850149312
59,XO-6,0.003753477374529787,2.186400872303878e-07,3.7649870511236787,4.349448734733932e-12,-1.4958022867296021,0.7178601189936445,0.9612555267298881
60,KPS-1,-0.0009776260918251149,1.5072901366850063e-07,1.7063262113408972,3.667710787308657e-12,-0.1652987876335889,0.2546000687849426,0.6283919456144398
61,HD189733,0.0006283771393027245,9.530360433628304e-09,2.2185757246240247,3.134781244494384e-14,0.054592310885569144,0.0020626558277718828,0.11467445806182985
62,HAT-P-23,-5.434043085263826e-06,3.140728827084419e-08,1.212886061012536,3.2175466192954605e-14,-0.034350487451662345,0.0002472665511620689,0.9855368984488686
63,WASP-2,-0.002885123827322583,1.9452432995314793e-08,2.1522222397023345,9.496212286139882e-15,0.009481366530636694,0.0008623380226259525,0.37339558889023716
64,HAT-P-19,-0.0009807820849267663,3.601259109821608e-08,4.008783898758652,2.6043554244063065e-13,-0.6835471550582651,0.12174071355526724,0.9749478648598746
65,HAT-P-8,-0.004873889581245288,7.336471620077149e-07,3.0763445098256157,1.490686004259272e-11,-0.29397634480493867,0.3384703076686796,0.6933270722566915
66,WASP-19,-0.000746468251880534,1.793773838371408e-08,0.7888390610902146,3.254649911830619e-14,-0.0017964766300543427,5.1411947817086636e-05,0.5989178936031011
67,TrES-2,,,,,,,
68,WASP-52,-0.0005056464382100326,1.5332996711365934e-08,1.7497814125922857,7.276111890781777e-14,-0.10870383731519183,0.003999252968628892,0.9571854481043243
69,GJ-1214,,,,,,,
70,WASP-104,0.0028600593432450755,2.3782166410878364e-07,1.7554020319579606,1.2563478963387564e-12,-1.3598666945150815,0.1225677277762869,0.9999486789448576
